date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.608,13.658,33.91,8.118417,4.197075,51.689713,0.0,33.3533482259123,7.172284656343167
2017-01-02 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.258,13.458,33.94,6.633001,4.4627852,45.050724,0.0,33.32253577756672,7.352158311991022
2017-01-03 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,24.808,13.408,32.94,9.035084,5.124933,58.762787,0.0,33.28888336082165,6.472340227794636
2017-01-04 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,24.858,11.608,33.35,4.953834,6.5893884,46.001705,0.0,33.25239285708317,7.16953779293621
2017-01-05 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,30.958,11.408,34.37,3.483,5.3623157,39.482407,0.0,33.21306647029789,8.18800331200345
2017-01-06 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.358,14.308001,33.44,5.1538334,3.1575725,35.733864,0.0,33.1709067366845,7.383760982868232
2017-01-07 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,30.558,14.958,33.13,8.670499,3.6831741,47.835377,0.0,33.125916535207274,7.311982675335412
2017-01-08 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.158,15.908,31.34,12.037168,3.7842386,60.327274,0.5,33.078099098807044,6.530694180555281
2017-01-09 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,27.458,16.008,29.03,10.578834,3.0156956,59.08658,0.6,33.02745802640462,6.1142493719484445
2017-01-10 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.958,13.158,33.66,4.1663337,4.4874196,39.771503,0.0,32.97399729568886,7.637657813098461
2017-01-11 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,32.208,13.258,33.69,4.0975842,4.2540765,37.280197,0.0,32.917721276699744,8.028394601127646
2017-01-12 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,33.358,17.808,30.96,8.878833,5.7531757,38.401005,0.0,32.85863474621358,8.902541007155566
2017-01-13 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,32.058,16.008,32.93,10.278835,4.963652,50.897583,0.0,32.7967429029349,7.996640256442769
2017-01-14 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,30.508,15.058001,33.29,4.816334,4.5544405,35.283176,0.0,32.73205138349574,8.081762721908802
2017-01-15 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.408,13.858,32.95,8.018416,3.393218,45.154537,0.0,32.664566279259475,7.156398724000646
2017-01-16 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.808,16.157999,32.99,6.391333,4.058569,37.885387,0.0,32.594294153922576,7.998569699166518
2017-01-17 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.058,17.008,32.23,11.724668,5.5640893,52.951206,0.0,32.52124206190286,7.884539164665432
2017-01-18 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,33.458,14.008,33.33,4.683,4.7742333,33.32777,0.0,32.445417567499206,8.476436517331626
2017-01-19 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,34.008,16.358,32.67,6.803833,4.7109094,33.921535,0.0,32.36682876480218,8.621268125963203
2017-01-20 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,35.208,17.458,32.58,9.02675,5.613001,40.169556,0.0,32.285484298331255,9.216294900412954
2017-01-21 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,35.008,17.558,32.3,5.4184165,6.8515525,29.770079,0.0,32.20139338436846,10.278065069887598
2017-01-22 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,33.608,16.508,32.68,6.9871655,5.1687455,36.77342,0.0,32.1145658329543,8.789163901081562
2017-01-23 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.858,17.958,31.94,6.8059173,4.8888793,32.58823,0.0,32.02501207050637,8.534495504115926
2017-01-24 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.208,17.158,31.52,9.380918,6.5467343,41.07114,0.0,31.93274316301622,8.59820243952226
2017-01-25 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,35.708,18.358,31.63,10.393417,7.2764964,42.503513,0.0,31.837770839775484,9.945070836979157
2017-01-26 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,41.058,21.608,31.98,10.943417,6.5269504,35.50881,0.0,31.740107517577297,11.283358791134974
2017-01-27 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,34.608,18.308,31.35,14.237167,2.0119677,55.72562,0.0,31.639766325334328,6.67449949646562
2017-01-28 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,34.958,18.308,31.6,11.455916,3.1468847,42.258137,0.0,31.536761129050788,7.538043557762495
2017-01-29 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,32.958,17.908,30.66,7.987167,2.5965881,35.574863,0.0,31.431106557080913,7.007593680748681
2017-01-30 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.708,17.458,30.59,7.1455007,4.6246495,35.889034,0.0,31.32281802560277,7.759068449037054
2017-01-31 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.708,13.958,31.45,5.726751,4.9352617,39.40156,0.0,31.21191176423244,7.5740594320935095
2017-02-01 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.108,14.108,31.13,6.043417,3.2938278,39.468857,0.0,31.0984048417001,6.942842883950611
2017-02-02 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,27.458,13.608,27.71,6.830917,2.1597464,44.5063,0.0,30.982315191506206,5.493298762402821
2017-02-03 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,24.058,12.508,17.85,9.568417,2.2534878,63.02614,0.0,30.86366163747343,3.8083199488317803
2017-02-04 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,23.958,14.508,23.2,11.428834,2.3927772,64.93239,1.8000001,30.742463919107234,4.449500900372658
2017-02-05 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.508,13.858,30.65,7.3496666,3.31662,47.365673,0.0,30.618742716675836,6.539799938500368
2017-02-06 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,30.308,14.158,30.32,7.6996665,4.4606085,43.519226,0.0,30.492519675918917,7.11236811483208
2017-02-07 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.758,14.608,29.7,9.578834,3.4726384,49.898167,0.0,30.363817432292446,6.412177257660952
2017-02-08 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,25.858,11.958,29.02,8.793418,2.5642927,59.015316,0.0,30.232659634656585,5.2718517736375405
2017-02-09 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,26.558,13.808001,27.58,7.341334,4.59263,48.79952,0.0,30.099070968312592,6.281482448595649
2017-02-10 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.358,14.308001,29.54,7.23925,4.34685,43.42477,0.0,29.96307717729488,7.1819264554836515
2017-02-11 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.008,15.008,29.24,7.3871675,3.623888,41.2719,0.0,29.82470508582442,6.820981682405937
2017-02-12 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,32.758,15.308001,29.49,8.837167,4.3487096,45.452393,0.0,29.683982618830132,7.338601039647581
2017-02-13 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.058,16.458,28.9,9.366334,3.1874583,43.88817,0.0,29.540938821446503,6.558826481875854
2017-02-14 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.708,17.558,28.32,10.453834,2.1171196,49.18591,0.0,29.395603877396432,5.725498474745038
2017-02-15 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,27.958,15.558001,28.08,12.145501,2.2887766,60.225796,0.0,29.248009126170746,5.3782281191742065
2017-02-16 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,25.158,12.358,25.72,11.389252,2.6525705,67.611755,1.3,29.098187078917693,4.587924464239411
2017-02-17 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,23.208,13.208,24.55,9.399667,2.986249,63.68283,5.5,28.94617143295834,4.6248855737426755
2017-02-18 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,24.958,10.608,27.23,9.260083,1.828897,62.344555,0.0,28.791997084846997,4.51823100046778
2017-02-19 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,28.858,13.358,27.61,11.412167,3.172932,61.222534,0.0,28.635700141898763,5.4784650820896434
2017-02-20 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.408,16.658,27.45,14.783002,4.8858304,62.81819,0.0,28.477317932110054,6.351725956773756
2017-02-21 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,34.308,19.158,27.23,15.310085,6.2670817,57.51975,0.0,28.316889012402118,7.726283790371141
2017-02-22 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,34.708,20.458,26.55,14.632999,6.427398,50.19203,0.0,28.154453175121223,8.221057072116071
2017-02-23 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,32.058,19.908,22.29,17.4955,3.8665345,65.73513,0.0,27.990051452734406,5.593526373650621
2017-02-24 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.558,18.608,24.5,16.558002,2.369795,64.2187,0.0,27.823726120663835,5.230051930047468
2017-02-25 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,31.308,19.958,25.12,15.274667,2.589139,58.726696,0.0,27.655520698208232,5.624836554243673
2017-02-26 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.508,19.908,22.99,15.291332,2.2581809,59.78278,0.0,27.485479947504693,5.006416020339111
2017-02-27 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,29.158,18.758,24.04,15.274667,2.7703383,64.91485,0.0,27.31364987049001,5.150267131162307
2017-02-28 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,26.858,15.658,24.31,13.862168,2.9080846,68.78289,0.0,27.14007770382578,4.701448040193135
2017-03-01 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,23.808,17.008,9.26,13.608001,2.0070088,71.29394,6.9,26.96481191175766,2.6016301798332826
2017-03-02 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,23.958,13.108,16.45,9.374667,2.5683722,58.710133,0.0,26.787902176884614,3.667637999445048
2017-03-03 00:00:00+00:00,-35.97222,-72.3325,150.0,open-meteo_ecmwf_ifs,daily,25.508,12.408,26.6,6.3996663,4.9350896,48.415424,0.0,26.609399388820417,5.819862561628953
