date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,24.6135,12.2135,33.78,10.598917,3.002188,63.61088,0.0,33.26266787608663,5.749267311391994
2017-01-02 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,23.9635,13.5135,33.93,8.930167,3.2089775,52.75993,0.0,33.23229295559624,6.080409234656328
2017-01-03 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,22.8635,12.7635,33.05,10.509334,4.010136,65.88944,0.0,33.19911417383547,5.6049105184439485
2017-01-04 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,25.3135,12.4135,33.37,6.311416,4.515243,48.918594,0.0,33.16313314172108,6.690897592558798
2017-01-05 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,27.3135,13.0135,34.15,6.5884995,3.6970556,43.568924,0.0,33.12435177240638,6.883678735764304
2017-01-06 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,24.2135,14.5135,33.46,7.6760006,2.4568627,46.861904,0.0,33.08277229134781,6.091279302617091
2017-01-07 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,25.4635,13.8635,33.08,10.64475,2.8443394,55.51593,0.0,33.03839724713176,5.971999593466807
2017-01-08 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,22.1635,14.3635,29.96,13.994751,2.5200877,75.67324,0.0,32.99122952307613,4.815500480280182
2017-01-09 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,22.8635,15.2635,29.61,13.046833,3.7700214,73.11924,1.4000001,32.94127234962,5.199652222769688
2017-01-10 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,24.4635,13.1135,33.54,7.7447505,2.854646,48.203598,0.0,32.888529317512635,6.0606297976540855
2017-01-11 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,27.1635,13.813499,33.44,8.03225,2.5299609,45.886135,0.0,32.83300439181066,6.329895995570357
2017-01-12 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,30.8135,17.9635,30.82,10.630166,3.761527,44.99922,0.0,32.77470192668949,7.33284464272764
2017-01-13 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,28.9135,15.8635,32.75,12.396834,2.7576954,55.599716,0.0,32.71362668107201,6.43723966185006
2017-01-14 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,23.9135,17.0135,33.25,7.601,3.2756653,43.996994,0.0,32.64978383507429,6.601459897099069
2017-01-15 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,24.1635,13.1135,32.96,10.99475,2.8008635,61.781254,0.0,32.58317900726411,5.611200345329877
2017-01-16 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,28.3635,14.7635,32.89,11.230167,2.5772665,58.31082,0.0,32.513818272724585,6.279574491543656
2017-01-17 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,29.2635,17.9135,32.14,12.738502,4.0488005,54.162857,0.0,32.44170818191035,7.061306496273185
2017-01-18 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,28.1135,15.2635,33.13,6.8989167,2.8408625,37.980175,0.0,32.366855780280225,6.748048241371258
2017-01-19 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,31.6635,16.0135,32.55,9.8885,2.5430434,45.32477,0.0,32.28926862868496,6.830727108051186
2017-01-20 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,33.0135,18.7635,32.4,10.742667,3.4031055,40.63851,0.0,32.20895482448439,7.702614658735614
2017-01-21 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,32.9135,18.6135,32.09,8.576,3.380482,33.788563,0.0,32.125923023363676,7.782792173023087
2017-01-22 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,26.8635,15.063499,32.56,10.303084,2.8410995,48.172653,0.0,32.04018246181305,6.222046276954246
2017-01-23 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,28.5135,17.6635,31.86,9.771834,3.115266,44.189953,0.0,31.951742980231018,6.832331050063783
2017-01-24 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,29.2135,18.4135,31.37,10.882249,4.1417017,46.712788,0.0,31.86061504660616,7.294298531181799
2017-01-25 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,36.1635,17.7635,31.58,11.186417,4.0848775,43.128113,0.0,31.766809780727577,8.21132753628553
2017-01-26 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,38.1635,21.5635,31.9,11.992667,6.8598237,38.516804,0.0,31.670338978869665,10.735874260153
2017-01-27 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,23.6635,16.213501,28.42,16.215584,1.7481598,85.25941,0.0,31.571215138892416,4.740818088871011
2017-01-28 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,23.0135,15.7635,30.48,14.415582,1.6679597,72.98447,0.0,31.469451485693654,5.020996857025409
2017-01-29 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,24.6135,16.963501,30.61,12.930168,2.056217,63.779358,0.0,31.36506199694595,5.483648186784753
2017-01-30 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,26.3135,16.4135,30.72,11.050999,3.026099,53.502644,0.0,31.258061429046624,6.053123132022019
2017-01-31 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,25.2635,14.563499,31.27,9.271833,2.72021,50.4084,0.0,31.148465343205647,5.8115745417946725
2017-02-01 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,23.5635,14.2635,31.17,9.203083,2.3508341,53.949875,0.0,31.03629013159299,5.459565923978688
2017-02-02 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,21.1135,12.063499,27.65,10.90725,2.5664525,72.14852,0.0,30.921553043463547,4.396088882001765
2017-02-03 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,19.1635,12.9135,16.99,12.190582,2.1361387,79.85282,0.0,30.804272211175153,2.931405340699175
2017-02-04 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,20.6635,13.9635,24.42,13.453082,2.2420194,81.09183,0.0,30.684466676012786,3.892121800256797
2017-02-05 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,27.0135,13.2135,30.51,11.01975,2.6286259,62.11822,0.0,30.562156413729696,5.554123800835875
2017-02-06 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,26.0135,13.2135,30.22,9.926,2.794489,51.274704,0.0,30.437362359714857,5.537859421196523
2017-02-07 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,21.6635,14.6135,29.64,12.467668,2.2308009,68.51435,0.0,30.310106433694376,4.766537974552882
2017-02-08 00:00:00+00:00,-35.73167,-72.53583,59.0,open-meteo_ecmwf_ifs,daily,20.7635,10.8635,28.23,11.182251,2.8952837,77.807,0.0,30.180411563873836,4.192032672343731
