date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,28.1005,12.9005,33.35,10.885918,4.44865,59.683884,0.0,33.4288326489691,6.591452717189197
2017-01-02 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,28.1505,12.1505,33.66,7.3213325,3.8411415,46.898876,0.0,33.39840804467375,6.826759580410496
2017-01-03 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,25.7005,12.2505,33.46,8.4817505,5.028612,54.22302,0.0,33.36517376242085,6.55829042048452
2017-01-04 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,25.3005,10.9505005,33.47,4.0338335,6.2374682,42.99394,0.0,33.32913134485485,7.209908629838815
2017-01-05 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.6005,8.2505,34.46,5.7630005,3.779227,49.84218,0.0,33.29028263277618,6.679097107148885
2017-01-06 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.7005,12.1505,33.41,7.4942513,1.7943896,43.992016,0.0,33.24862977536167,6.179603311417305
2017-01-07 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.8505,13.1005,33.09,7.7984166,3.2587574,44.71539,0.0,33.20417524115467,6.868896740532466
2017-01-08 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.3505,14.7005005,30.61,11.433833,3.3385975,56.838894,0.3,33.15692182983933,6.40126724156633
2017-01-09 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,25.0005,15.8505,21.42,12.517167,2.3364894,66.055016,14.100001,33.10687268481213,4.4845307162326336
2017-01-10 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,26.2505,12.0005,33.33,7.765084,3.7410686,50.509827,0.0,33.05403130656148,6.3898842410185095
2017-01-11 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.5505,11.8505,33.44,7.7525845,3.4999187,48.777912,0.0,32.998401566864004,6.776673515008737
2017-01-12 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,32.400497,14.5505,31.08,9.983833,4.8005643,45.622753,0.0,32.93998772380313,7.588500351888023
2017-01-13 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,30.9505,15.9505005,32.59,11.946332,4.4281673,56.100048,0.0,32.87879443761288,7.329711832665953
2017-01-14 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,28.5505,12.5005,33.08,8.5338335,3.0132349,49.61618,0.0,32.814826787346014,6.442505643053036
2017-01-15 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.2505,12.4505005,32.85,9.133834,2.0187557,51.0168,0.0,32.74809028836219,6.091568895323645
2017-01-16 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,30.8005,14.2505,32.89,8.860916,2.5993228,46.912403,0.0,32.6785909106278,6.703794568720434
2017-01-17 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,31.0005,16.7005,32.41,11.010918,6.0343595,49.61468,0.0,32.60633509781487,8.111349257989307
2017-01-18 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,31.1005,12.7005005,32.93,5.2463336,3.6351252,36.5198,0.0,32.531329787182315,7.2886140856189305
2017-01-19 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,33.150497,14.2505,32.99,8.6171665,3.6658003,42.53193,0.0,32.453582430217736,7.507052623811006
2017-01-20 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,34.150497,15.5505,32.6,9.788001,4.8291554,43.109837,0.0,32.37310101401388,8.219804692772518
2017-01-21 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,34.1005,15.3005,32.09,9.702584,4.8552337,43.885036,0.0,32.28989408334891,8.131192824187377
2017-01-22 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.8505,13.5005,32.24,9.5505,2.2567153,47.627777,0.0,32.20397076343429,6.220287700598446
2017-01-23 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,31.1005,14.4505005,31.99,9.49425,2.4576313,44.62985,0.0,32.11534078329022,6.507963923094049
2017-01-24 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,30.9505,15.6505,31.67,9.652583,5.891394,43.253204,0.0,32.024014499702915,7.973925727114293
2017-01-25 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,35.5005,14.9005,31.41,11.121334,5.261536,48.436176,0.0,31.93000292171351,8.18177443280432
2017-01-26 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,36.6005,17.8005,31.76,11.710916,3.3772004,40.95413,0.0,31.833317735583915,7.832319604307651
2017-01-27 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,32.150497,17.7505,30.83,15.610916,1.7927128,60.226765,0.0,31.73397133018006,6.17123112759101
2017-01-28 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,32.0005,17.8505,31.06,14.51925,1.5351979,55.630493,0.0,31.63197682270884,6.129505071978239
2017-01-29 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,31.3005,16.1005,31.15,12.004666,1.7747402,50.01723,0.0,31.527348084740684,6.107074789788513
2017-01-30 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.8505,16.1505,30.79,7.8275833,3.3939545,38.376637,0.0,31.42009976844594,6.946609267379502
2017-01-31 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,28.5005,12.9505005,30.98,8.296334,3.4475908,45.882755,0.0,31.310247332969283,6.340635637356849
2017-02-01 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.2005,12.6505,31.05,6.9067497,2.1428363,42.80806,0.0,31.19780707086318,5.939921641109379
2017-02-02 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,27.9005,15.4005,29.28,7.3484178,1.9253298,42.717,0.0,31.082796134498167,5.737614387471872
2017-02-03 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,23.5005,12.0005,23.29,7.479667,2.0257142,53.271973,0.0,30.965232562364886,4.405889228864914
2017-02-04 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,21.9005,14.9505005,20.46,11.535916,1.6717715,66.21204,11.299999,30.845135305180438,3.805980416606124
2017-02-05 00:00:00+00:00,-35.6625,-71.453611,250.0,open-meteo_ecmwf_ifs,daily,29.5005,13.4505005,30.76,9.463,2.877401,56.26388,0.0,30.722524251709405,6.150133735339018
