date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,21.2705,13.8705,33.51,11.3955,5.3168235,69.08198,0.0,33.199050072395956,5.460772673780124
2017-01-02 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.7705,14.8705,33.79,10.158,5.887268,62.94695,0.0,33.16931587697836,5.899673061596106
2017-01-03 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.4705,13.9205,33.55,11.070498,6.453198,69.510216,0.0,33.13682994623249,5.413478279526849
2017-01-04 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,21.6705,12.9205,34.0,7.920501,6.4230456,56.79517,0.0,33.101593453718685,6.231735046632642
2017-01-05 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,22.8705,13.270499,34.06,7.5704994,5.541048,50.204082,0.0,33.06360784282608,6.491856640987536
2017-01-06 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.5205,13.9705,33.42,8.978831,3.2615383,54.942608,0.0,33.022874837405354,5.584723972881203
2017-01-07 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,22.9205,15.020499,32.86,11.343415,4.92895,63.157104,0.0,32.979396453193445,5.92715967012703
2017-01-08 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.4705,14.9205,28.16,13.891332,3.9808788,79.99387,0.0,32.93317501004269,4.4089045248699765
2017-01-09 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.6205,15.1705,31.75,13.010082,3.8565495,77.017006,1.5000001,32.884213144965955,5.0332758785302785
2017-01-10 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,21.9205,14.570499,33.29,9.191333,4.862655,57.11143,0.0,32.83251382600673,6.082607128034382
2017-01-11 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,24.2205,15.520499,33.32,9.168416,4.8795857,52.749752,0.0,32.778080366941,6.6830870158075815
2017-01-12 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,25.6205,17.8705,30.34,11.389249,6.0702386,53.90089,0.0,32.720916442815124,6.971777212521276
2017-01-13 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,23.9205,16.6705,32.42,13.60175,5.7195754,68.199486,0.0,32.66102610632058,5.9829606518781375
2017-01-14 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,20.9705,16.0705,33.2,9.524666,5.752482,55.273376,0.0,32.59841380500337,6.229841797205651
2017-01-15 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,22.4205,13.9205,32.92,11.133,4.3911443,66.680565,0.0,32.53308439930211,5.6014690337454605
2017-01-16 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,24.070501,15.4205,32.71,11.397582,4.5768967,62.753098,0.0,32.46504318140497,6.1211421786374185
2017-01-17 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,25.9705,18.4205,32.18,12.887165,6.6967883,59.385647,0.0,32.39429589491139,7.111628769226167
2017-01-18 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,23.820501,17.1205,32.82,8.02675,5.3416004,46.295727,0.0,32.32084875528068,7.129423278963761
2017-01-19 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,26.9705,16.8705,32.57,10.160084,5.1687503,48.82194,0.0,32.24470847104433,7.243989373119982
2017-01-20 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,27.7205,20.5205,32.3,12.403832,5.895041,50.74647,0.0,32.16588226575516,7.88795247324274
2017-01-21 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,26.2705,19.6205,31.99,10.353833,5.8172193,45.25108,0.0,32.0843779006411,7.735401385422883
2017-01-22 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,23.5205,16.820501,32.34,11.226749,4.667651,55.252655,0.0,32.000203697927105,6.259274665815039
2017-01-23 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,24.070501,15.270499,31.82,10.580916,4.7007413,51.30403,0.0,31.91336856478356,6.1399495192080185
2017-01-24 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,25.1705,16.5205,31.31,11.201749,7.1885915,54.84944,0.0,31.82388201785543,6.874884375273541
2017-01-25 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,30.3705,17.9205,31.53,12.710083,5.962137,52.9969,0.0,31.73175420832094,7.748558342605005
2017-01-26 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,30.6205,17.570501,30.71,12.741333,5.8309116,52.552746,0.0,31.636995947424797,7.591595466388908
2017-01-27 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,21.820501,15.770499,25.16,16.33925,2.4681041,90.693115,0.0,31.539618732426003,3.986223684061137
2017-01-28 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,19.820501,14.6205,26.84,15.055916,1.895627,87.727104,0.0,31.439634772896234,4.019055158998985
2017-01-29 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,23.3705,15.070499,29.94,13.035084,3.4687212,67.609474,0.0,31.337057017300694,5.17760588232306
2017-01-30 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,23.9705,17.320501,30.6,10.585082,5.2634025,54.156937,0.0,31.231899179789302,6.458713223664241
2017-01-31 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,22.320501,16.0205,30.95,10.297582,5.263481,58.352024,0.0,31.124175767122782,5.976535583378507
2017-02-01 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,21.9205,13.320499,31.23,10.107999,3.9197664,59.76605,0.0,31.013902105654473,5.292665133337589
2017-02-02 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,18.9705,13.270499,28.23,11.028832,4.2801757,73.161606,0.0,30.901094368286014,4.365257613821466
2017-02-03 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,18.4205,12.020499,19.73,12.522583,3.1017702,84.11154,0.0,30.785769601312012,2.974414791395425
2017-02-04 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,19.2205,14.770499,24.36,13.9955,2.7608006,83.67956,0.0,30.667945751066586,3.710908755125736
2017-02-05 00:00:00+00:00,-35.333333,-72.433333,7.0,open-meteo_ecmwf_ifs,daily,24.2205,14.4205,30.37,11.616333,4.0261903,65.41157,0.0,30.547641690282592,5.50829840071352
