date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,29.310501,13.8105,32.72,11.414669,3.7187958,57.83681,0.0,33.37043241943461,6.6256989998581215
2017-01-02 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,29.5105,13.0105,33.87,7.679251,3.184025,43.841747,0.0,33.34107754551343,6.8871449044553685
2017-01-03 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,26.810501,13.210501,33.53,8.316751,4.1771264,49.72246,0.0,33.30899950938714,6.7450641395233175
2017-01-04 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,26.7605,11.960501,33.87,4.162583,5.3763657,40.426422,0.0,33.274199096537856,7.441925809629599
2017-01-05 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,30.0105,9.410501,34.18,5.3209157,3.465143,45.2411,0.0,33.23667733474083,6.8015393810575855
2017-01-06 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,31.2605,14.210501,33.26,7.7271676,2.1815405,40.7913,0.0,33.19643550527701,6.677839383772984
2017-01-07 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,30.8605,13.960501,33.02,7.14175,2.4299388,39.573185,0.0,33.153475154971275,6.738580231409094
2017-01-08 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,30.4605,16.0105,31.68,11.439667,2.925779,51.90389,0.0,33.10779810906772,6.704908954253849
2017-01-09 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,26.9605,17.4105,24.12,12.381333,2.1487775,58.600952,0.8,33.05940648495136,5.144816545437486
2017-01-10 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,29.560501,14.8105,32.3,7.327167,3.3857687,41.314957,0.0,33.008302706723704,7.050178155184816
2017-01-11 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,31.9605,13.710501,33.19,5.808417,3.1746147,37.754524,0.0,32.954489520637416,7.308117688810759
2017-01-12 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,34.2105,15.160501,31.64,8.456334,3.737806,38.185467,0.0,32.89797001139226,7.711103439318536
2017-01-13 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,32.8105,16.9105,32.35,11.523,4.18877,49.248047,0.0,32.83874761929142,7.733833674177889
2017-01-14 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,30.7105,15.160501,33.11,7.2896676,3.2462642,39.42525,0.0,32.77682615825459,7.250067815982795
2017-01-15 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,30.8605,13.8605,32.83,9.064668,1.7319059,47.610332,0.0,32.71220983467969,6.242342168576885
2017-01-16 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,31.6605,14.8105,32.7,8.866751,2.039985,45.011993,0.0,32.644903267141835,6.544011060190365
2017-01-17 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,32.7105,16.7605,32.67,11.098001,5.229143,47.607983,0.0,32.57491150691393,8.185869068130756
2017-01-18 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,32.0605,15.410501,32.82,4.4646673,3.5275478,30.353699,0.0,32.502240059289065,7.740118843951845
2017-01-19 00:00:00+00:00,-34.96944,-71.21694,220.0,open-meteo_ecmwf_ifs,daily,33.7605,14.7605,32.93,8.427168,2.879349,40.132,0.0,32.42689490568022,7.246997840699114
