date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,28.781,13.681,33.54,9.62475,4.052271,55.425415,0.0,33.388188988297905,6.936733632180781
2017-01-02 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,28.731,13.581,33.85,7.0747495,4.0499215,44.16455,0.0,33.357976806475705,7.242350938298535
2017-01-03 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,26.031,13.381,33.52,8.2560005,4.621996,53.05248,0.0,33.32497244252389,6.7655264380560896
2017-01-04 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,24.981,11.581,33.92,4.106,6.4352765,42.993,0.0,33.28917730626627,7.341040270454063
2017-01-05 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.581001,11.181,34.39,3.9976666,5.6473393,39.7181,0.0,33.2505930957252,8.310471949026468
2017-01-06 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.131,14.081,33.5,5.551832,2.949381,36.37752,0.0,33.20922180750641,7.201372223990323
2017-01-07 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,30.631,14.531,32.89,8.118501,3.4964314,45.88144,0.0,33.16506574796276,7.210606265635159
2017-01-08 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.231,15.581,32.17,11.045583,3.2170038,55.068348,0.0,33.11812754515055,6.688825873237538
2017-01-09 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,27.481,16.081001,28.19,11.5435,2.9788218,62.327682,8.300001,33.068410161590975,5.919408750900239
2017-01-10 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.231,13.531,33.52,5.435166,4.0642076,40.747295,0.0,33.01591690784685,7.4215220486479065
2017-01-11 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.431,13.531,33.61,3.5601666,3.6481683,35.318336,0.0,32.96065145692262,7.7952357588953625
2017-01-12 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,34.431,18.531,31.11,8.031,5.7182117,33.735462,0.0,32.90261785949274,9.339009194033155
2017-01-13 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.830997,16.731,32.66,8.9185,4.3984585,44.93875,0.0,32.84182055996057,8.143597473863332
2017-01-14 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,30.081001,14.981,33.43,4.0018334,4.7585163,32.83359,0.0,32.77826441334649,8.193286606173967
2017-01-15 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.381,14.231,32.91,8.133082,3.121844,45.080994,0.0,32.71195470300015,7.066182247362162
2017-01-16 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.031,16.031,32.86,7.495583,3.3983593,40.531376,0.0,32.64289715912817,7.552816626685851
2017-01-17 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.831001,17.581001,32.35,11.147666,5.852448,48.01119,0.0,32.57109797812393,8.365565931546179
2017-01-18 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,33.231,14.431,32.98,4.866416,4.7269597,31.851158,0.0,32.49656384268236,8.429975690851391
2017-01-19 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,34.681,16.281,32.82,6.1705832,3.9258502,33.26504,0.0,32.419301942677464,8.311198154341456
2017-01-20 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,36.080997,18.081001,32.58,8.062249,5.3702855,35.90962,0.0,32.339319996776155,9.461145389302878
2017-01-21 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,36.181,18.131,32.24,5.283083,6.7731056,28.52379,0.0,32.25662627475703,10.577398762650807
2017-01-22 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.931,16.581001,32.5,7.6518326,4.6335726,37.468082,0.0,32.171229620498,8.323438494714216
2017-01-23 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.431,17.931002,32.07,6.7601666,4.640622,32.80221,0.0,32.08313947559162,8.499281301949017
2017-01-24 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.081,17.431002,31.55,8.97475,6.1005025,39.32893,0.0,31.992365903542645,8.723370171939326
2017-01-25 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,36.181,17.731,31.67,10.1414175,7.3663535,41.272808,0.0,31.898919614497274,9.992282956864697
2017-01-26 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,39.330997,21.681002,32.0,11.191415,5.9854507,37.577522,0.0,31.802811990448753,10.573779948456043
2017-01-27 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,33.580997,16.931002,31.07,15.593498,2.4746952,66.02091,0.0,31.704055110860107,6.50734225544671
2017-01-28 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,34.181,17.531,31.7,12.208083,2.6236064,46.6739,0.0,31.60266177863967,7.02648977764474
2017-01-29 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,33.080997,17.781,30.45,8.981,2.488223,38.896904,0.0,31.49864554640155,6.869038528775497
2017-01-30 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,30.381,17.731,30.72,7.4685,4.117607,36.13689,0.0,31.39202074293879,7.625458724470297
2017-01-31 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.631,14.431,31.11,7.24975,4.3606367,41.09128,0.0,31.282802499833558,7.192667986036244
2017-02-01 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.331001,14.231,31.29,6.881,2.9895093,41.1953,0.0,31.171006778125268,6.785150301600163
2017-02-02 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,27.181002,13.481,28.75,6.4497504,2.1367834,43.60263,0.0,31.056650394954328,5.584672587206615
2017-02-03 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,23.331001,11.581,20.53,9.32475,2.471047,64.75265,0.0,30.939751050096437,4.01810140130709
2017-02-04 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,22.681002,14.431,21.33,11.9122505,2.0582407,67.646,2.9999998,30.820327352300072,3.977783787198268
2017-02-05 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.681002,14.031,30.59,8.23725,2.8509235,49.93153,0.0,30.6983988453375,6.301551785312532
2017-02-06 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,30.081001,14.381,30.46,8.087251,3.8361943,43.763077,0.0,30.57398603367805,6.8236236047815595
2017-02-07 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.631,14.731,29.8,9.722666,2.8406718,49.829052,0.0,30.447110407691195,6.155697039171059
2017-02-08 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,25.181002,10.781,28.39,8.795583,2.451516,62.36174,0.0,30.317794468285598,4.976020973044921
2017-02-09 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,27.381,14.331,28.81,7.1080832,3.97698,47.30835,0.0,30.186061750890282,6.408077134752406
2017-02-10 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,30.731,13.881,29.46,7.3039155,3.9091263,42.587227,0.0,30.05193684868357,6.81618736982671
2017-02-11 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,31.081001,15.181,29.16,8.278916,2.892318,44.84401,0.0,29.91544543497582,6.3935183830161995
2017-02-12 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.731,15.781,29.37,9.112249,3.8115923,44.981342,0.0,29.776614284652606,7.096819982355688
2017-02-13 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.531,15.831,29.14,10.293499,2.8620365,46.83903,0.0,29.635471294586107,6.104288268796293
2017-02-14 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,27.931002,14.431,28.54,11.393498,2.1510677,57.562363,0.0,29.49204550292386,5.338426021362188
2017-02-15 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,26.181002,14.581,28.9,12.389332,2.4958344,65.106285,0.0,29.346367107165882,5.212604103717675
2017-02-16 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,25.031,11.831,25.73,11.493501,2.427636,69.87111,0.0,29.19846748094336,4.470907768052257
2017-02-17 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,23.531,13.631,23.63,9.808083,3.209758,62.75885,2.3000002,29.048379189414824,4.6428876001695105
2017-02-18 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,25.381,10.231,28.13,7.9851665,2.3455927,60.73689,0.0,28.896136003198347,4.852305204289647
2017-02-19 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,29.081001,13.431,27.8,10.685165,3.2847967,58.37794,0.0,28.741772910761952,5.664097410084744
2017-02-20 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,32.031,16.731,27.56,14.191417,4.386534,59.040436,0.0,28.585326129197764,6.448846334246663
2017-02-21 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,35.381,18.881,27.32,14.643498,5.30405,55.45257,0.0,28.42683311330953,7.65655311881023
2017-02-22 00:00:00+00:00,-35.54333,-72.09444,210.0,open-meteo_ecmwf_ifs,daily,34.981,19.881,26.6,14.19975,5.9042583,48.580853,0.0,28.266332562947024,8.026719737519295
