date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,29.858,15.257999,33.15,11.957999,2.5601616,58.659695,0.0,33.210210284752826,6.533372111405442
2017-01-02 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,30.358,13.858,33.89,8.935083,2.6535885,47.406357,0.0,33.18099917448849,6.768150911802259
2017-01-03 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,28.407999,13.908,33.49,9.158001,2.7000573,49.929966,0.0,33.14907820335626,6.495771202292316
2017-01-04 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,28.008,13.808,34.29,4.049667,4.262235,37.145634,0.0,33.11444815098735,7.580292478187326
2017-01-05 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,31.258,12.608,34.24,6.0621667,3.0789557,39.951046,0.0,33.07711003799006,7.143367008744084
2017-01-06 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,29.657999,15.158,33.46,9.545501,2.184171,48.611935,0.0,33.037065137111206,6.534308445239374
2017-01-07 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,31.508,14.808,33.04,9.272583,2.3544176,45.03273,0.0,32.994314985219575,6.731369883917227
2017-01-08 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,29.808,17.258,32.77,12.06425,2.477069,53.743816,0.0,32.94886139612231,6.665191505860377
2017-01-09 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,27.358,17.558,16.25,13.978833,2.1310868,68.5282,0.3,32.900706474224,4.013800004345285
2017-01-10 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,30.407999,16.358,32.86,7.3538327,2.719085,39.420193,0.0,32.849852629035624,7.049938619001926
2017-01-11 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,33.658,15.608,33.39,6.5205,2.4072673,37.991497,0.0,32.7963025905385,7.205983079545288
2017-01-12 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,36.108,17.208,31.26,7.972584,3.2188568,32.99191,0.0,32.74005942540555,7.882351998470869
2017-01-13 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,34.508003,18.358,32.48,11.960084,2.6969178,45.551758,0.0,32.68112655407897,7.392412492249701
2017-01-14 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,30.657999,16.758,33.37,6.528834,2.767101,34.546017,0.0,32.61950776870053,7.233021172274303
2017-01-15 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,30.958,13.658,33.11,9.785084,2.167696,53.85524,0.0,32.55520725188654,6.414075584025
2017-01-16 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,31.858,14.108,32.71,10.966334,1.9629704,53.90154,0.0,32.48822959633622,6.349181101449404
2017-01-17 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,34.108,18.907999,32.59,11.585084,4.0013385,44.777576,0.0,32.41857982525773,8.156541299719802
2017-01-18 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,33.508003,17.157999,33.02,5.487167,2.7631893,30.011305,0.0,32.34626341359219,7.556184266107651
2017-01-19 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,35.458,17.058,32.95,9.61425,2.1854892,41.690292,0.0,32.27128631001142,7.162331329021051
2017-01-20 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,37.758003,18.657999,32.65,9.374667,3.548982,36.348522,0.0,32.19365495966064,8.521027142717614
2017-01-21 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,36.908,19.258,32.06,8.853833,2.6643846,32.854595,0.0,32.11337632761309,7.774208073111957
2017-01-22 00:00:00+00:00,-34.9675,-71.83167,39.0,open-meteo_ecmwf_ifs,daily,31.458,17.508,32.37,11.712167,2.2403357,47.118256,0.0,32.03045792299818,6.6740546927311435
