date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,28.749,13.849,33.41,10.498999,4.239557,56.547398,0.0,33.37116254964599,6.874712818745375
2017-01-02 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,28.749,12.549,33.77,7.394832,3.8548124,46.190754,0.0,33.340361962613834,6.9755685698379954
2017-01-03 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,26.098999,13.049,33.13,8.807332,4.5140257,53.85956,0.0,33.306722162443464,6.571960531760223
2017-01-04 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,25.598999,11.599,33.63,3.9323337,6.083236,40.95208,0.0,33.270245010254996,7.376755222477694
2017-01-05 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,30.799,9.599,34.34,4.7740006,4.110392,44.03053,0.0,33.23093268832331,7.244835819070318
2017-01-06 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,30.799,12.299,33.27,7.603165,2.1421084,44.412907,0.0,33.18878770984401,6.425978738112345
2017-01-07 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,30.649,13.799,33.01,7.7094154,3.2829742,43.113895,0.0,33.14381292944319,7.066698603157009
2017-01-08 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,30.399,15.698999,30.51,11.821918,3.632613,56.103485,0.1,33.09601155444676,6.728894004645687
2017-01-09 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,23.999,16.249,24.66,13.342751,2.5424736,67.26821,22.000002,33.045387156923944,4.7561337513416895
2017-01-10 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,26.899,12.448999,33.39,7.6031666,3.5803251,48.48379,0.0,32.99194368651727,6.520293577246006
2017-01-11 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,30.499,12.049,33.42,7.071916,3.5104885,45.889618,0.0,32.935685484069175,6.9921260860289145
2017-01-12 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,32.849,16.499,31.14,10.176084,4.800693,42.713703,0.0,32.87661729605239,7.978675431853475
2017-01-13 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,31.598999,16.099,32.74,11.659416,4.160936,53.012997,0.0,32.81474428980837,7.423972062945482
2017-01-14 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,29.399,13.099,33.0,8.149,3.152613,47.30493,0.0,32.75007206959455,6.694336611681755
2017-01-15 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,29.098999,13.198999,32.77,9.744832,2.3356636,51.569607,0.0,32.68260669343747,6.2157231867596145
2017-01-16 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,31.699,14.649,32.83,8.859415,3.0123074,45.770092,0.0,32.612354690784834,7.034214890231199
2017-01-17 00:00:00+00:00,-35.95305,-71.60805,171.0,open-meteo_ecmwf_ifs,daily,31.399,17.348999,32.19,11.226082,5.823158,48.746536,0.0,32.53932308094527,8.192061655529466
