date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,29.315,13.315,32.8,11.546249,3.9560778,58.734356,0.0,33.38580247563181,6.597636662901191
2017-01-02 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,29.215,12.815,33.92,7.654583,3.3609717,44.20724,0.0,33.35631665553016,6.898463265528235
2017-01-03 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,26.765001,12.764999,33.54,8.419166,4.2640705,50.945587,0.0,33.32409699014273,6.676986792791074
2017-01-04 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,26.765001,11.415,33.87,4.33375,5.6737056,41.840137,0.0,33.28914435193075,7.411173038919635
2017-01-05 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,29.465,8.964999,34.12,5.1504164,3.4364598,46.59522,0.0,33.251459862121024,6.668226156191356
2017-01-06 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,30.915,14.115,33.34,7.3545823,2.147066,39.711628,0.0,33.21104490180875,6.642843444736754
2017-01-07 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,30.565,13.665,33.04,7.1941676,2.4596522,40.304245,0.0,33.16790112388003,6.693335318317094
2017-01-08 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,30.365,15.764999,31.68,11.550416,2.8560734,53.22495,0.0,33.1220304657655,6.626694271689354
2017-01-09 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,26.665,17.115,24.04,12.415,2.1826916,59.49486,0.70000005,33.073435163035015,5.0847113850113175
2017-01-10 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,29.165,14.514999,32.36,7.4316673,3.3647726,42.31364,0.0,33.0221177638413,6.9492230309843315
2017-01-11 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,31.815,13.464999,33.28,6.2295833,3.0889785,39.57468,0.0,32.968081144217805,7.199796016499208
2017-01-12 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,33.914997,14.615,31.65,8.979583,3.7462158,40.90429,0.0,32.91132852423383,7.552826994126889
2017-01-13 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,32.565,16.365,32.24,11.602501,4.3256116,50.729736,0.0,32.85186348500623,7.638900918034353
2017-01-14 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,30.415,14.365,33.16,7.62125,3.4646826,41.341328,0.0,32.789689986564085,7.191871027382689
2017-01-15 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,30.415,13.764999,32.89,8.812916,1.8204479,46.7709,0.0,32.72481238655926,6.255276990679502
2017-01-16 00:00:00+00:00,-35.04972,-71.24805,233.0,open-meteo_ecmwf_ifs,daily,31.315,14.665,32.77,9.137916,2.135365,46.15401,0.0,32.65723545981128,6.546619891027176
