date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,22.11,12.76,33.81,9.276667,4.30672,60.85523,0.0,33.367153172276346,5.8037466602591365
2017-01-02 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,21.26,12.46,33.88,7.8974996,4.654159,55.524876,0.0,33.3365297069981,5.872748511363432
2017-01-03 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,20.460001,13.360001,33.08,10.328751,5.510843,68.22479,0.0,33.3030812847954,5.423944155332826
2017-01-04 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,22.11,11.81,33.05,6.41625,6.0067024,53.219257,0.0,33.26680963635991,6.275587194881092
2017-01-05 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,25.06,12.360001,34.02,5.76625,4.6733418,44.3322,0.0,33.227716803969216,6.822655430793517
2017-01-06 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,22.51,13.16,33.3,6.3308334,2.9878798,44.92845,0.0,33.18580515142917,5.9817990873060936
2017-01-07 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,22.91,14.16,33.01,10.612083,4.1363907,60.75574,0.0,33.14107737477002,5.852597184308466
2017-01-08 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,19.31,14.56,27.22,13.349584,3.1079102,78.42347,0.1,33.09353651371129,4.222700275452045
2017-01-09 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,20.76,14.21,30.13,12.120418,4.1560397,75.52238,1.7,33.04318596390984,4.924972799169512
2017-01-10 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,22.210001,12.81,33.38,6.8329167,4.0282645,49.1032,0.0,32.99002949000219,6.074639854510798
2017-01-11 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,25.41,13.96,33.38,6.7350006,3.6611395,44.290234,0.0,32.93407123945113,6.636047612780018
2017-01-12 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,27.31,18.56,30.48,10.049584,4.97057,46.299152,0.0,32.875315757202905,7.392431862377472
2017-01-13 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,26.01,16.26,32.67,12.141251,4.6603107,59.531647,0.0,32.813768001158685,6.538961869825576
2017-01-14 00:00:00+00:00,-35.83555,-72.5875,172.0,open-meteo_ecmwf_ifs,daily,21.81,15.41,33.15,6.920418,4.6260843,45.163193,0.0,32.74943335846051,6.515996129331944
