date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,30.045,14.995,33.24,9.959583,3.4836195,50.76544,0.0,33.2612333431993,7.053598382124297
2017-01-02 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,30.445,14.245,33.64,7.3575006,3.2606165,41.215687,0.0,33.2312642117702,7.19017139228564
2017-01-03 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,28.045,14.195,33.3,8.640835,3.921427,49.713287,0.0,33.1985238028461,6.940276825755977
2017-01-04 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,26.895,13.195,33.78,4.0220833,6.018893,38.676212,0.0,33.16301342541866,7.900212927424862
2017-01-05 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,32.095,12.045,34.19,4.5491667,4.196735,38.01682,0.0,33.12473466858392,7.835146591816583
2017-01-06 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,32.445,14.495,33.27,5.6325,2.3448713,34.097294,0.0,33.08368941201617,6.981030413998286
2017-01-07 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,32.145,14.6449995,32.77,8.0304165,2.3867352,41.134743,0.0,33.03987983722512,6.8322467138122045
2017-01-08 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,31.145,16.895,31.74,10.71375,2.8320167,48.153255,1.4,32.99330843960945,6.914082082456634
2017-01-09 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,27.994999,17.345,21.64,12.230416,2.338023,58.349575,1.1,32.94397804131888,5.009580173349193
2017-01-10 00:00:00+00:00,-35.455833,-71.772221,71.0,open-meteo_ecmwf_ifs,daily,30.145,15.245,33.27,5.505417,3.3475382,36.910706,0.0,32.89189180493439,7.395528206386656
