date,lat,lon,z,source,granularity,Tmax,Tmin,Rs,Tdwp,Wspeed2M,RHmean,Precip_mm,Rso,Eto
2017-01-01 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,28.9,12.95,32.86,11.3125,3.5186226,59.405743,0.0,33.42704824618292,6.419870201701024
2017-01-02 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.05,12.9,33.84,7.5645833,3.0817015,44.05151,0.0,33.39777606541991,6.787899060161967
2017-01-03 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,26.4,12.4,33.57,8.15625,4.2413774,50.7681,0.0,33.3657867420241,6.596840592326164
2017-01-04 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,26.55,11.1,33.82,4.2187505,5.567473,42.428055,0.0,33.33108096524168,7.299638144532759
2017-01-05 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.3,8.9,34.18,4.902083,3.33407,45.980946,0.0,33.293659659855884,6.634186987171213
2017-01-06 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.75,14.25,33.24,8.914583,1.6474404,45.31705,0.0,33.25352399754742,6.32662703960572
2017-01-07 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.05,13.5,33.04,7.0520825,2.1051116,40.177696,0.0,33.210675409089525,6.4595026127362365
2017-01-08 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.05,15.35,31.38,11.066667,2.5773969,52.00587,0.1,33.16511559738838,6.440396970955422
2017-01-09 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,27.3,17.25,26.09,11.781251,1.8254285,56.509186,0.1,33.11684655137783,5.3378864060866595
2017-01-10 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.3,14.3,32.37,7.5125003,3.3422775,42.390575,0.0,33.06587056077566,6.927142630032097
2017-01-11 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,31.6,13.8,33.15,5.995834,2.9392273,38.9297,0.0,33.01219023170594,7.1382631840598165
2017-01-12 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,33.8,14.45,31.82,8.616667,3.648743,40.37549,0.0,32.955808503189374,7.519426617821977
2017-01-13 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.35,16.2,32.47,11.412499,4.2366157,50.37555,0.0,32.896728664500316,7.5960360141353
2017-01-14 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.25,14.8,33.04,7.297917,3.1365278,40.285175,0.0,32.834954373386296,7.0911971357189
2017-01-15 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.6,13.35,32.88,8.285417,1.4868488,45.408047,0.0,32.77048967514155,6.089847978588812
2017-01-16 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,31.15,14.65,32.71,8.729167,2.1908782,44.919727,0.0,32.70333902252284,6.574270623662794
2017-01-17 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.45,16.3,32.77,10.485416,5.3018966,46.400547,0.0,32.633507296491366,8.185358037889007
2017-01-18 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,31.7,14.85,32.85,4.5625,3.4490404,31.698471,0.0,32.56099982776058,7.579354961511244
2017-01-19 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,33.35,15.5,32.93,7.8833337,2.8208873,39.78632,0.0,32.485822419125086,7.2866939911501225
2017-01-20 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,34.8,16.3,32.67,9.000001,4.02498,38.817036,0.0,32.407981368541435,8.134472254505205
2017-01-21 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,33.5,16.45,31.94,10.110417,3.3316386,42.05972,0.0,32.327483492927065,7.424663421921222
2017-01-22 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.5,15.5,32.17,8.689584,2.1316664,40.857082,0.0,32.24433615263868,6.465942566748915
2017-01-23 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.25,15.85,32.17,10.522918,1.9955837,47.8792,0.0,32.1585472765871,6.326779034804702
2017-01-24 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,31.35,16.9,31.68,9.677083,4.758538,42.418278,0.0,32.0701253879407,7.842746405480046
2017-01-25 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,35.6,15.9,31.34,11.375,3.7046974,47.267033,0.0,31.979079630365035,7.6105602359859725
2017-01-26 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.25,17.4,31.57,12.810417,2.7255259,45.874905,0.0,31.885419794741843,6.805853910520744
2017-01-27 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.3,17.3,30.79,16.341665,1.3983736,64.78565,0.0,31.78915634630597,5.9850475535448675
2017-01-28 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.35,18.0,30.49,16.425001,1.6041685,62.242844,0.0,31.690300452135137,6.065719232993797
2017-01-29 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.7,18.45,30.47,13.691667,1.5883436,52.56311,0.0,31.58886400892266,6.2008207588910835
2017-01-30 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.6,18.0,31.06,8.981251,2.5200417,39.838623,0.0,31.48485967096014,6.734707843738674
2017-01-31 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.65,14.9,30.96,9.312501,3.118418,45.403564,0.0,31.378300878253118,6.527534440811593
2017-02-01 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.25,13.9,30.99,8.427085,1.9374431,44.624767,0.0,31.269201884689693,5.988747645180713
2017-02-02 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,28.2,13.75,30.09,7.8187504,2.5432024,45.30157,0.0,31.157577786178923,5.980478083167003
2017-02-03 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,24.0,12.45,23.05,7.8270836,1.6325716,53.081512,0.0,31.043444548673257,4.306342160658625
2017-02-04 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,23.5,15.5,20.41,12.7770815,1.4565002,70.05656,5.2,30.926819035986753,3.848831647411498
2017-02-05 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.5,12.3,30.64,10.075,2.274327,58.946476,0.0,30.807719037319043,5.747695296151328
2017-02-06 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.8,13.5,30.45,7.547916,2.3936706,44.27212,0.0,30.686163294393275,6.068871169301853
2017-02-07 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.85,15.55,29.74,10.26875,1.9916056,50.67917,0.0,30.562171528114803,5.853476436018757
2017-02-08 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,26.75,12.35,29.49,9.50625,1.8476413,58.595036,0.0,30.43576446465693,5.2137725021895465
2017-02-09 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,27.75,14.7,24.85,8.466666,2.3864043,51.09515,0.0,30.30696386087895,5.2847784918422915
2017-02-10 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.4,13.9,29.12,7.270834,2.71195,40.785572,0.0,30.175792528982218,6.165579010046787
2017-02-11 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.5,13.35,29.34,9.860417,1.6515573,50.500214,0.0,30.042274360309833,5.483210438456338
2017-02-12 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,32.05,15.6,29.35,9.760416,2.2064364,47.36348,0.0,29.906434348196267,6.095392362856354
2017-02-13 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,31.2,16.25,28.83,10.7854185,2.0728834,47.300602,0.0,29.768298609774547,5.887513148014661
2017-02-14 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.2,14.7,27.4,13.495833,1.9670583,63.898724,0.0,29.627894406649798,5.271241852100238
2017-02-15 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,29.25,15.7,27.96,12.679168,2.011332,59.016193,0.0,29.485250164349953,5.401878582996467
2017-02-16 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,28.1,14.6,26.35,10.945834,2.2700148,56.783737,0.0,29.340395490466502,5.189479161563832
2017-02-17 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,27.2,14.6,24.93,12.525001,2.8348439,67.317856,1.5,29.193361191400857,4.953659015506867
2017-02-18 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,27.05,11.45,27.99,5.877083,2.0997021,44.42148,0.0,29.044179287634712,5.168751883510187
2017-02-19 00:00:00+00:00,-34.878888,-71.165277,289.0,open-meteo_ecmwf_ifs,daily,30.15,13.0,27.93,8.933333,3.0106971,50.63696,0.0,28.892883027446,5.834556159833213
